t,o,m,value
1926,CHN,Sn,
1926,CHN,Zn,
1926,EU27,Ni,
1926,EU27,Sn,
1926,EU27,Zn,
1926,ROW,Ni,
1926,ROW,Sn,
1926,ROW,Zn,
1927,CHN,Ni,
1927,CHN,Sn,
1927,CHN,Zn,
1927,EU27,Ni,
1927,EU27,Sn,
1927,EU27,Zn,
1927,ROW,Ni,
1927,ROW,Sn,
1927,ROW,Zn,
1928,CHN,Ni,
1928,CHN,Sn,
1928,CHN,Zn,
1928,EU27,Ni,
1928,EU27,Sn,
1928,EU27,Zn,
1928,ROW,Ni,
1928,ROW,Sn,
1928,ROW,Zn,
1929,CHN,Ni,
1929,CHN,Sn,
1929,CHN,Zn,
1929,EU27,Ni,
1929,EU27,Sn,
1929,EU27,Zn,
1929,ROW,Ni,
1929,ROW,Sn,
1929,ROW,Zn,
1930,CHN,Ni,
1930,CHN,Sn,
1930,CHN,Zn,
1930,EU27,Ni,
1930,EU27,Sn,
1930,EU27,Zn,
1930,ROW,Ni,
1930,ROW,Sn,
1930,ROW,Zn,
1931,CHN,Ni,
1931,CHN,Sn,
1931,CHN,Zn,
1931,EU27,Ni,
1931,EU27,Sn,
1931,EU27,Zn,
1931,ROW,Ni,
1931,ROW,Sn,
1931,ROW,Zn,
1932,CHN,Ni,
1932,CHN,Sn,
1932,CHN,Zn,
1932,EU27,Ni,
1932,EU27,Sn,
1932,EU27,Zn,
1932,ROW,Ni,
1932,ROW,Sn,
1932,ROW,Zn,
1933,CHN,Ni,
1933,CHN,Sn,
1933,CHN,Zn,
1933,EU27,Ni,
1933,EU27,Sn,
1933,EU27,Zn,
1933,ROW,Ni,
1933,ROW,Sn,
1933,ROW,Zn,
1934,CHN,Ni,
1934,CHN,Sn,
1934,CHN,Zn,
1934,EU27,Ni,
1934,EU27,Sn,
1934,EU27,Zn,
1934,ROW,Ni,
1934,ROW,Sn,
1934,ROW,Zn,
1935,CHN,Ni,
1935,CHN,Sn,
1935,CHN,Zn,
1935,EU27,Ni,
1935,EU27,Sn,
1935,EU27,Zn,
1935,ROW,Ni,
1935,ROW,Sn,
1935,ROW,Zn,
1936,CHN,Ni,
1936,CHN,Sn,
1936,CHN,Zn,
1936,EU27,Ni,
1936,EU27,Sn,
1936,EU27,Zn,
1936,ROW,Ni,
1936,ROW,Sn,
1936,ROW,Zn,
1937,CHN,Ni,
1937,CHN,Sn,
1937,CHN,Zn,
1937,EU27,Ni,
1937,EU27,Sn,
1937,EU27,Zn,
1937,ROW,Ni,
1937,ROW,Sn,
1937,ROW,Zn,
1938,CHN,Ni,
1938,CHN,Sn,
1938,CHN,Zn,
1938,EU27,Ni,
1938,EU27,Sn,
1938,EU27,Zn,
1938,ROW,Ni,
1938,ROW,Sn,
1938,ROW,Zn,
1939,CHN,Ni,
1939,CHN,Sn,
1939,CHN,Zn,
1939,EU27,Ni,
1939,EU27,Sn,
1939,EU27,Zn,
1939,ROW,Ni,
1939,ROW,Sn,
1939,ROW,Zn,
1940,CHN,Ni,
1940,CHN,Sn,
1940,CHN,Zn,
1940,EU27,Ni,
1940,EU27,Sn,
1940,EU27,Zn,
1940,ROW,Ni,
1940,ROW,Sn,
1940,ROW,Zn,
1941,CHN,Ni,
1941,CHN,Sn,
1941,CHN,Zn,
1941,EU27,Ni,
1941,EU27,Sn,
1941,EU27,Zn,
1941,ROW,Ni,
1941,ROW,Sn,
1941,ROW,Zn,
1942,CHN,Ni,
1942,CHN,Sn,
1942,CHN,Zn,
1942,EU27,Ni,
1942,EU27,Sn,
1942,EU27,Zn,
1942,ROW,Ni,
1942,ROW,Sn,
1942,ROW,Zn,
1943,CHN,Ni,
1943,CHN,Sn,
1943,CHN,Zn,
1943,EU27,Ni,
1943,EU27,Sn,
1943,EU27,Zn,
1943,ROW,Ni,
1943,ROW,Sn,
1943,ROW,Zn,
1944,CHN,Ni,
1944,CHN,Sn,
1944,CHN,Zn,
1944,EU27,Ni,
1944,EU27,Sn,
1944,EU27,Zn,
1944,ROW,Ni,
1944,ROW,Sn,
1944,ROW,Zn,
1945,CHN,Ni,
1945,CHN,Sn,
1945,CHN,Zn,
1945,EU27,Ni,
1945,EU27,Sn,
1945,EU27,Zn,
1945,ROW,Ni,
1945,ROW,Sn,
1945,ROW,Zn,
1946,CHN,Ni,
1946,CHN,Sn,
1946,CHN,Zn,
1946,EU27,Ni,
1946,EU27,Sn,
1946,EU27,Zn,
1946,ROW,Ni,
1946,ROW,Sn,
1946,ROW,Zn,
1947,CHN,Ni,
1947,CHN,Sn,
1947,CHN,Zn,
1947,EU27,Ni,
1947,EU27,Sn,
1947,EU27,Zn,
1947,ROW,Ni,
1947,ROW,Sn,
1947,ROW,Zn,
1948,CHN,Ni,
1948,CHN,Sn,
1948,CHN,Zn,
1948,EU27,Ni,
1948,EU27,Sn,
1948,EU27,Zn,
1948,ROW,Ni,
1948,ROW,Sn,
1948,ROW,Zn,
1949,CHN,Ni,
1949,CHN,Sn,
