t,i,m,c,value
1835,EU27,Ni,scrap,1.0
1835,EU27,Sn,concentrate,1.0
1835,EU27,Sn,refined_metal,1.0
1835,EU27,Sn,scrap,1.0
1835,EU27,Zn,concentrate,1.0
1835,EU27,Zn,refined_metal,1.0
1835,EU27,Zn,scrap,1.0
1835,ROW,Ni,concentrate,1.0
1835,ROW,Ni,refined_metal,1.0
1835,ROW,Ni,scrap,1.0
1835,ROW,Sn,concentrate,1.0
1835,ROW,Sn,refined_metal,1.0
1835,ROW,Sn,scrap,1.0
1835,ROW,Zn,concentrate,1.0
1835,ROW,Zn,refined_metal,1.0
1835,ROW,Zn,scrap,1.0
1836,CHN,Ni,concentrate,1.0
1836,CHN,Ni,refined_metal,1.0
1836,CHN,Ni,scrap,1.0
1836,CHN,Sn,concentrate,1.0
1836,CHN,Sn,refined_metal,1.0
1836,CHN,Sn,scrap,1.0
1836,CHN,Zn,concentrate,1.0
1836,CHN,Zn,refined_metal,1.0
1836,CHN,Zn,scrap,1.0
1836,EU27,Ni,concentrate,1.0
1836,EU27,Ni,refined_metal,1.0
1836,EU27,Ni,scrap,1.0
1836,EU27,Sn,concentrate,1.0
1836,EU27,Sn,refined_metal,1.0
1836,EU27,Sn,scrap,1.0
1836,EU27,Zn,concentrate,1.0
1836,EU27,Zn,refined_metal,1.0
1836,EU27,Zn,scrap,1.0
1836,ROW,Ni,concentrate,1.0
1836,ROW,Ni,refined_metal,1.0
1836,ROW,Ni,scrap,1.0
1836,ROW,Sn,concentrate,1.0
1836,ROW,Sn,refined_metal,1.0
1836,ROW,Sn,scrap,1.0
1836,ROW,Zn,concentrate,1.0
1836,ROW,Zn,refined_metal,1.0
1836,ROW,Zn,scrap,1.0
1837,CHN,Ni,concentrate,1.0
1837,CHN,Ni,refined_metal,1.0
1837,CHN,Ni,scrap,1.0
1837,CHN,Sn,concentrate,1.0
1837,CHN,Sn,refined_metal,1.0
1837,CHN,Sn,scrap,1.0
1837,CHN,Zn,concentrate,1.0
1837,CHN,Zn,refined_metal,1.0
1837,CHN,Zn,scrap,1.0
1837,EU27,Ni,concentrate,1.0
1837,EU27,Ni,refined_metal,1.0
1837,EU27,Ni,scrap,1.0
1837,EU27,Sn,concentrate,1.0
1837,EU27,Sn,refined_metal,1.0
1837,EU27,Sn,scrap,1.0
1837,EU27,Zn,concentrate,1.0
1837,EU27,Zn,refined_metal,1.0
1837,EU27,Zn,scrap,1.0
1837,ROW,Ni,concentrate,1.0
1837,ROW,Ni,refined_metal,1.0
1837,ROW,Ni,scrap,1.0
1837,ROW,Sn,concentrate,1.0
1837,ROW,Sn,refined_metal,1.0
1837,ROW,Sn,scrap,1.0
1837,ROW,Zn,concentrate,1.0
1837,ROW,Zn,refined_metal,1.0
1837,ROW,Zn,scrap,1.0
1838,CHN,Ni,concentrate,1.0
1838,CHN,Ni,refined_metal,1.0
1838,CHN,Ni,scrap,1.0
1838,CHN,Sn,concentrate,1.0
1838,CHN,Sn,refined_metal,1.0
1838,CHN,Sn,scrap,1.0
1838,CHN,Zn,concentrate,1.0
1838,CHN,Zn,refined_metal,1.0
1838,CHN,Zn,scrap,1.0
1838,EU27,Ni,concentrate,1.0
1838,EU27,Ni,refined_metal,1.0
1838,EU27,Ni,scrap,1.0
1838,EU27,Sn,concentrate,1.0
1838,EU27,Sn,refined_metal,1.0
1838,EU27,Sn,scrap,1.0
1838,EU27,Zn,concentrate,1.0
1838,EU27,Zn,refined_metal,1.0
1838,EU27,Zn,scrap,1.0
1838,ROW,Ni,concentrate,1.0
1838,ROW,Ni,refined_metal,1.0
1838,ROW,Ni,scrap,1.0
1838,ROW,Sn,concentrate,1.0
1838,ROW,Sn,refined_metal,1.0
