t,r,m,i,value
1842,CHN,Sn,CHN,0.0
1842,CHN,Sn,EU27,0.0
1842,CHN,Sn,ROW,0.0
1842,CHN,Zn,CHN,0.0
1842,CHN,Zn,EU27,0.0
1842,CHN,Zn,ROW,0.0
1842,EU27,Ni,CHN,0.0
1842,EU27,Ni,EU27,0.0
1842,EU27,Ni,ROW,0.0
1842,EU27,Sn,CHN,0.0
1842,EU27,Sn,EU27,0.0
1842,EU27,Sn,ROW,0.0
1842,EU27,Zn,CHN,0.0
1842,EU27,Zn,EU27,0.0
1842,EU27,Zn,ROW,0.0
1842,ROW,Ni,CHN,0.0
1842,ROW,Ni,EU27,0.0
1842,ROW,Ni,ROW,0.0
1842,ROW,Sn,CHN,0.0
1842,ROW,Sn,EU27,0.0
1842,ROW,Sn,ROW,0.0
1842,ROW,Zn,CHN,0.0
1842,ROW,Zn,EU27,0.0
1842,ROW,Zn,ROW,0.0
1843,CHN,Ni,CHN,0.0
1843,CHN,Ni,EU27,0.0
1843,CHN,Ni,ROW,0.0
1843,CHN,Sn,CHN,0.0
1843,CHN,Sn,EU27,0.0
1843,CHN,Sn,ROW,0.0
1843,CHN,Zn,CHN,0.0
1843,CHN,Zn,EU27,0.0
1843,CHN,Zn,ROW,0.0
1843,EU27,Ni,CHN,0.0
1843,EU27,Ni,EU27,0.0
1843,EU27,Ni,ROW,0.0
1843,EU27,Sn,CHN,0.0
1843,EU27,Sn,EU27,0.0
1843,EU27,Sn,ROW,0.0
1843,EU27,Zn,CHN,0.0
1843,EU27,Zn,EU27,0.0
1843,EU27,Zn,ROW,0.0
1843,ROW,Ni,CHN,0.0
1843,ROW,Ni,EU27,0.0
1843,ROW,Ni,ROW,0.0
1843,ROW,Sn,CHN,0.0
1843,ROW,Sn,EU27,0.0
1843,ROW,Sn,ROW,0.0
1843,ROW,Zn,CHN,0.0
1843,ROW,Zn,EU27,0.0
1843,ROW,Zn,ROW,0.0
1844,CHN,Ni,CHN,0.0
1844,CHN,Ni,EU27,0.0
1844,CHN,Ni,ROW,0.0
1844,CHN,Sn,CHN,0.0
1844,CHN,Sn,EU27,0.0
1844,CHN,Sn,ROW,0.0
1844,CHN,Zn,CHN,0.0
1844,CHN,Zn,EU27,0.0
1844,CHN,Zn,ROW,0.0
1844,EU27,Ni,CHN,0.0
1844,EU27,Ni,EU27,0.0
1844,EU27,Ni,ROW,0.0
1844,EU27,Sn,CHN,0.0
1844,EU27,Sn,EU27,0.0
1844,EU27,Sn,ROW,0.0
1844,EU27,Zn,CHN,0.0
1844,EU27,Zn,EU27,0.0
1844,EU27,Zn,ROW,0.0
1844,ROW,Ni,CHN,0.0
1844,ROW,Ni,EU27,0.0
1844,ROW,Ni,ROW,0.0
1844,ROW,Sn,CHN,0.0
1844,ROW,Sn,EU27,0.0
1844,ROW,Sn,ROW,0.0
1844,ROW,Zn,CHN,0.0
1844,ROW,Zn,EU27,0.0
1844,ROW,Zn,ROW,0.0
1845,CHN,Ni,CHN,0.0
1845,CHN,Ni,EU27,0.0
1845,CHN,Ni,ROW,0.0
1845,CHN,Sn,CHN,0.0
1845,CHN,Sn,EU27,0.0
1845,CHN,Sn,ROW,0.0
1845,CHN,Zn,CHN,0.0
1845,CHN,Zn,EU27,0.0
1845,CHN,Zn,ROW,0.0
1845,EU27,Ni,CHN,0.0
1845,EU27,Ni,EU27,0.0
1845,EU27,Ni,ROW,0.0
1845,EU27,Sn,CHN,0.0
1845,EU27,Sn,EU27,0.0
1845,EU27,Sn,ROW,0.0
1845,EU27,Zn,CHN,0.0
1845,EU27,Zn,EU27,0.0
1845,EU27,Zn,ROW,0.0
1845,ROW,Ni,CHN,0.0
1845,ROW,Ni,EU27,0.0
1845,ROW,Ni,ROW,0.0
1845,ROW,Sn,CHN,0.0
