t,r,m,c,value
1837,EU27,Zn,scrap,199.786569955344
1837,ROW,Ni,concentrate,0.0
1837,ROW,Ni,refined_metal,0.0309666666666666
1837,ROW,Ni,scrap,4.598108645857384
1837,ROW,Sn,concentrate,0.0
1837,ROW,Sn,refined_metal,82.85815073033602
1837,ROW,Sn,scrap,27.101545924320646
1837,ROW,Zn,concentrate,0.0
1837,ROW,Zn,refined_metal,327.35637558402726
1837,ROW,Zn,scrap,107.58160931402912
1838,CHN,Ni,concentrate,0.0
1838,CHN,Ni,refined_metal,0.044501952617917395
1838,CHN,Ni,scrap,0.061098463610000084
1838,CHN,Sn,concentrate,0.0
1838,CHN,Sn,refined_metal,10.055972887221465
1838,CHN,Sn,scrap,2.541888999777422
1838,CHN,Zn,concentrate,0.0
1838,CHN,Zn,refined_metal,11.337532083133063
1838,CHN,Zn,scrap,38.281443452291754
1838,EU27,Ni,concentrate,0.0
1838,EU27,Ni,refined_metal,3.9491508387693544
1838,EU27,Ni,scrap,8.69593033062233
1838,EU27,Sn,concentrate,0.0
1838,EU27,Sn,refined_metal,26.72723246436726
1838,EU27,Sn,scrap,42.97293366627836
1838,EU27,Zn,concentrate,0.0
1838,EU27,Zn,refined_metal,209.52017749321988
1838,EU27,Zn,scrap,212.66366588229494
1838,ROW,Ni,concentrate,0.0
1838,ROW,Ni,refined_metal,0.0309666666666666
1838,ROW,Ni,scrap,4.92134503868766
1838,ROW,Sn,concentrate,0.0
1838,ROW,Sn,refined_metal,82.8970142855837
1838,ROW,Sn,scrap,28.755436258796195
1838,ROW,Zn,concentrate,0.0
1838,ROW,Zn,refined_metal,327.7506308391366
1838,ROW,Zn,scrap,113.13602732953734
1839,CHN,Ni,concentrate,0.0
1839,CHN,Ni,refined_metal,0.044755077686539926
1839,CHN,Ni,scrap,0.06385385346582277
1839,CHN,Sn,concentrate,0.0
1839,CHN,Sn,refined_metal,10.067007769801158
1839,CHN,Sn,scrap,2.624283783629276
1839,CHN,Zn,concentrate,0.0
1839,CHN,Zn,refined_metal,11.361871201422156
1839,CHN,Zn,scrap,41.59493858453999
1839,EU27,Ni,concentrate,0.0
1839,EU27,Ni,refined_metal,3.986554853853835
1839,EU27,Ni,scrap,8.893845958478018
1839,EU27,Sn,concentrate,0.0
1839,EU27,Sn,refined_metal,28.009737407880902
1839,EU27,Sn,scrap,46.084692558197666
1839,EU27,Zn,concentrate,0.0
1839,EU27,Zn,refined_metal,206.96050254475776
1839,EU27,Zn,scrap,225.81457613784139
1839,ROW,Ni,concentrate,0.0
1839,ROW,Ni,refined_metal,0.0309666666666666
1839,ROW,Ni,scrap,5.2479377723403715
1839,ROW,Sn,concentrate,0.0
1839,ROW,Sn,refined_metal,82.9327802036504
1839,ROW,Sn,scrap,30.434543398723214
1839,ROW,Zn,concentrate,0.0
1839,ROW,Zn,refined_metal,328.1145870236598
1839,ROW,Zn,scrap,118.71684126583217
1840,CHN,Ni,concentrate,0.0
1840,CHN,Ni,refined_metal,0.04499343579884028
1840,CHN,Ni,scrap,0.06660194947101461
1840,CHN,Sn,concentrate,0.0
1840,CHN,Sn,refined_metal,10.077360686519933
1840,CHN,Sn,scrap,2.7045196292239733
1840,CHN,Zn,concentrate,0.0
1840,CHN,Zn,refined_metal,11.384418985363407
1840,CHN,Zn,scrap,44.98959790744289
1840,EU27,Ni,concentrate,0.0
1840,EU27,Ni,refined_metal,4.022725792442049
1840,EU27,Ni,scrap,9.091072780645957
1840,EU27,Sn,concentrate,0.0
1840,EU27,Sn,refined_metal,26.852162095146575
1840,EU27,Sn,scrap,49.300435505338946
1840,EU27,Zn,concentrate,0.0
1840,EU27,Zn,refined_metal,210.93778179823016
1840,EU27,Zn,scrap,238.94101126323687
1840,ROW,Ni,concentrate,0.0
1840,ROW,Ni,refined_metal,0.0309666666666666
1840,ROW,Ni,scrap,5.577773084477638
1840,ROW,Sn,concentrate,0.0
1840,ROW,Sn,refined_metal,82.96576831491961
1840,ROW,Sn,scrap,32.13692632537574
1840,ROW,Zn,concentrate,0.0
1840,ROW,Zn,refined_metal,328.450966058491
1840,ROW,Zn,scrap,124.3265277394178
1841,CHN,Ni,concentrate,0.0
1841,CHN,Ni,refined_metal,0.04521796517189309
1841,CHN,Ni,scrap,0.06934388898703997
1841,CHN,Sn,concentrate,0.0
1841,CHN,Sn,refined_metal,10.087081471762332
1841,CHN,Sn,scrap,2.782783348745805
1841,CHN,Zn,concentrate,0.0
1841,CHN,Zn,refined_metal,11.405320678919097
1841,CHN,Zn,scrap,48.46004090378358
1841,EU27,Ni,concentrate,0.0
1841,EU27,Ni,refined_metal,4.057722794423298
1841,EU27,Ni,scrap,9.287661784161843
1841,EU27,Sn,concentrate,0.0
1841,EU27,Sn,refined_metal,28.112740344599857
1841,EU27,Sn,scrap,52.50232839751215
1841,EU27,Zn,concentrate,0.0
1841,EU27,Zn,refined_metal,208.38369461928824
1841,EU27,Zn,scrap,252.3241530765397
1841,ROW,Ni,concentrate,0.0
1841,ROW,Ni,refined_metal,0.0309666666666666
