baseline_run,scenario,scenario_run,indicator,baseline_mean_2020_2100,scenario_mean_2020_2100,delta_mean_reporting,delta_mean_reporting_pct,baseline_mean_2100,scenario_mean_2100,delta_mean_2100,status,notes
20260216_193413,r_reuse_reman,20260216_193502,apparent_consumption_kt_per_yr,3660.994829112864,3660.994829112864,0.0,0.0,5205.663030679514,5205.663030679514,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,eol_rir_frac,0.1656485139808145,0.1656485139808145,0.0,0.0,0.17323314425742314,0.17323314425742314,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,stockpile_cover_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,utilization_rate_ur_frac,0.7391385309099915,0.7391385309099915,0.0,0.0,0.7549034947610941,0.7549034947610941,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,buffer_coverage_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,apparent_consumption_kt_per_yr,3660.994829112864,3662.3486061940444,1.3537770811803966,0.00036978393698208127,5205.663030679514,5208.54248472273,2.8794540432154463,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,eol_rir_frac,0.1656485139808145,0.16594762217468842,0.0002991081938739093,0.0018056799103465073,0.17323314425742314,0.1736523096043564,0.000419165346933259,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,stockpile_cover_years,214.1687702544233,214.11055862761813,-0.05821162680516068,-0.0002718025916477354,324.5975745741775,324.47608465220924,-0.12148992196824793,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,utilization_rate_ur_frac,0.7391385309099915,0.7400497069620754,0.0009111760520839063,0.0012327540968025447,0.7549034947610941,0.755837762517416,0.0009342677563218826,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,buffer_coverage_years,214.1687702544233,214.11055862761813,-0.05821162680516068,-0.0002718025916477354,324.5975745741775,324.47608465220924,-0.12148992196824793,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,apparent_consumption_kt_per_yr,3660.994829112864,3660.994829112864,0.0,0.0,5205.663030679514,5205.663030679514,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,eol_rir_frac,0.1656485139808145,0.1656485139808145,0.0,0.0,0.17323314425742314,0.17323314425742314,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,stockpile_cover_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,utilization_rate_ur_frac,0.7391385309099915,0.7391385309099915,0.0,0.0,0.7549034947610941,0.7549034947610941,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,buffer_coverage_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,apparent_consumption_kt_per_yr,3660.994829112864,3660.994829112864,0.0,0.0,5205.663030679514,5205.663030679514,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,eol_rir_frac,0.1656485139808145,0.1656485139808145,0.0,0.0,0.17323314425742314,0.17323314425742314,0.0,ok,
