t,o,d,m,c,value
1823,CHN,EU27,Sn,concentrate,
1823,CHN,ROW,Sn,concentrate,
1823,EU27,CHN,Sn,concentrate,
1823,EU27,EU27,Sn,concentrate,
1823,EU27,ROW,Sn,concentrate,
1823,ROW,CHN,Sn,concentrate,
1823,ROW,EU27,Sn,concentrate,
1823,ROW,ROW,Sn,concentrate,
1823,CHN,CHN,Sn,refined_metal,0.0
1823,CHN,EU27,Sn,refined_metal,0.7686119550537082
1823,CHN,ROW,Sn,refined_metal,0.0
1823,EU27,CHN,Sn,refined_metal,0.0
1823,EU27,EU27,Sn,refined_metal,0.0
1823,EU27,ROW,Sn,refined_metal,0.0
1823,ROW,CHN,Sn,refined_metal,0.0
1823,ROW,EU27,Sn,refined_metal,7.8595651316930395
1823,ROW,ROW,Sn,refined_metal,0.0
1823,CHN,CHN,Sn,scrap,0.0018601261018741163
1823,CHN,EU27,Sn,scrap,0.1496368026520583
1823,CHN,ROW,Sn,scrap,0.08256892637159009
1823,EU27,CHN,Sn,scrap,0.013369782273426584
1823,EU27,EU27,Sn,scrap,1.0755246483203815
1823,EU27,ROW,Sn,scrap,0.5934697475759944
1823,ROW,CHN,Sn,scrap,0.014944197887151513
1823,ROW,EU27,Sn,scrap,1.202177630742334
1823,ROW,ROW,Sn,scrap,0.6633563035234433
1823,CHN,CHN,Zn,concentrate,
1823,CHN,EU27,Zn,concentrate,
1823,CHN,ROW,Zn,concentrate,
1823,EU27,CHN,Zn,concentrate,
1823,EU27,EU27,Zn,concentrate,
1823,EU27,ROW,Zn,concentrate,
1823,ROW,CHN,Zn,concentrate,
1823,ROW,EU27,Zn,concentrate,
1823,ROW,ROW,Zn,concentrate,
1823,CHN,CHN,Zn,refined_metal,0.0
1823,CHN,EU27,Zn,refined_metal,0.6670213012646119
1823,CHN,ROW,Zn,refined_metal,0.0
1823,EU27,CHN,Zn,refined_metal,0.0
1823,EU27,EU27,Zn,refined_metal,0.0
1823,EU27,ROW,Zn,refined_metal,0.0
1823,ROW,CHN,Zn,refined_metal,0.0
1823,ROW,EU27,Zn,refined_metal,21.666448830504205
1823,ROW,ROW,Zn,refined_metal,0.0
1823,CHN,CHN,Zn,scrap,0.11332885894592538
1823,CHN,EU27,Zn,scrap,0.3483235535430078
1823,CHN,ROW,Zn,scrap,0.15415426045777544
1823,EU27,CHN,Zn,scrap,1.2591578567897357
1823,EU27,EU27,Zn,scrap,3.870102842541394
1823,EU27,ROW,Zn,scrap,1.7127548094844562
1823,ROW,CHN,Zn,scrap,1.336515682265396
1823,ROW,EU27,Zn,scrap,4.107867105895522
1823,ROW,ROW,Zn,scrap,1.8179798906132807
1824,CHN,CHN,Ni,concentrate,
1824,CHN,EU27,Ni,concentrate,
1824,CHN,ROW,Ni,concentrate,
1824,EU27,CHN,Ni,concentrate,
1824,EU27,EU27,Ni,concentrate,
1824,EU27,ROW,Ni,concentrate,
1824,ROW,CHN,Ni,concentrate,
1824,ROW,EU27,Ni,concentrate,
1824,ROW,ROW,Ni,concentrate,
1824,CHN,CHN,Ni,refined_metal,0.0
1824,CHN,EU27,Ni,refined_metal,0.0
1824,CHN,ROW,Ni,refined_metal,0.0
1824,EU27,CHN,Ni,refined_metal,0.0
1824,EU27,EU27,Ni,refined_metal,0.0
1824,EU27,ROW,Ni,refined_metal,0.0
1824,ROW,CHN,Ni,refined_metal,1.849660168715039e-05
1824,ROW,EU27,Ni,refined_metal,0.007509708749626737
1824,ROW,ROW,Ni,refined_metal,0.0
1824,CHN,CHN,Ni,scrap,2.545222208753336e-05
1824,CHN,EU27,Ni,scrap,0.0015298931956925902
1824,CHN,ROW,Ni,scrap,0.00369900514571203
1824,EU27,CHN,Ni,scrap,0.005986514471615322
1824,EU27,EU27,Ni,scrap,0.3598400062887044
1824,EU27,ROW,Ni,scrap,0.8700280768896379
1824,ROW,CHN,Ni,scrap,0.0011963204726520478
1824,ROW,EU27,Ni,scrap,0.07190894943017861
1824,ROW,ROW,Ni,scrap,0.17386283873532826
1824,CHN,CHN,Sn,concentrate,
1824,CHN,EU27,Sn,concentrate,
1824,CHN,ROW,Sn,concentrate,
1824,EU27,CHN,Sn,concentrate,
1824,EU27,EU27,Sn,concentrate,
1824,EU27,ROW,Sn,concentrate,
1824,ROW,CHN,Sn,concentrate,
1824,ROW,EU27,Sn,concentrate,
1824,ROW,ROW,Sn,concentrate,
1824,CHN,CHN,Sn,refined_metal,0.0
1824,CHN,EU27,Sn,refined_metal,0.9828707945612186
1824,CHN,ROW,Sn,refined_metal,0.0
1824,EU27,CHN,Sn,refined_metal,0.0
1824,EU27,EU27,Sn,refined_metal,0.0
1824,EU27,ROW,Sn,refined_metal,0.0
1824,ROW,CHN,Sn,refined_metal,0.0
1824,ROW,EU27,Sn,refined_metal,10.032005415632154
1824,ROW,ROW,Sn,refined_metal,0.0
1824,CHN,CHN,Sn,scrap,0.002614352347908413
1824,CHN,EU27,Sn,scrap,0.21031011067086844
1824,CHN,ROW,Sn,scrap,0.11604818958583273
1824,EU27,CHN,Sn,scrap,0.018827038929704384
1824,EU27,EU27,Sn,scrap,1.514530604139358
1824,EU27,ROW,Sn,scrap,0.8357112937749768
1824,ROW,CHN,Sn,scrap,0.02149647462995535
1824,ROW,EU27,Sn,scrap,1.7292718642444462
1824,ROW,ROW,Sn,scrap,0.9542045720347926
1824,CHN,CHN,Zn,concentrate,
1824,CHN,EU27,Zn,concentrate,
1824,CHN,ROW,Zn,concentrate,
1824,EU27,CHN,Zn,concentrate,
1824,EU27,EU27,Zn,concentrate,
1824,EU27,ROW,Zn,concentrate,
1824,ROW,CHN,Zn,concentrate,
1824,ROW,EU27,Zn,concentrate,
1824,ROW,ROW,Zn,concentrate,
1824,CHN,CHN,Zn,refined_metal,0.0
1824,CHN,EU27,Zn,refined_metal,0.8599605897433356
1824,CHN,ROW,Zn,refined_metal,0.0
1824,EU27,CHN,Zn,refined_metal,0.0
1824,EU27,EU27,Zn,refined_metal,0.0
1824,EU27,ROW,Zn,refined_metal,0.0
1824,ROW,CHN,Zn,refined_metal,0.0
1824,ROW,EU27,Zn,refined_metal,27.78387965197009
1824,ROW,ROW,Zn,refined_metal,0.0
1824,CHN,CHN,Zn,scrap,0.1927574409152534
1824,CHN,EU27,Zn,scrap,0.5924524204685946
1824,CHN,ROW,Zn,scrap,0.26219606398933554
1824,EU27,CHN,Zn,scrap,1.8532348331311828
1824,EU27,EU27,Zn,scrap,5.696036725596503
1824,EU27,ROW,Zn,scrap,2.520841097431678
1824,ROW,CHN,Zn,scrap,1.8975144086711073
1824,ROW,EU27,Zn,scrap,5.832132855434022
1824,ROW,ROW,Zn,scrap,2.5810718743425993
1825,CHN,CHN,Ni,concentrate,
1825,CHN,EU27,Ni,concentrate,
1825,CHN,ROW,Ni,concentrate,
1825,EU27,CHN,Ni,concentrate,
1825,EU27,EU27,Ni,concentrate,
1825,EU27,ROW,Ni,concentrate,
1825,ROW,CHN,Ni,concentrate,
1825,ROW,EU27,Ni,concentrate,
1825,ROW,ROW,Ni,concentrate,
1825,CHN,CHN,Ni,refined_metal,0.0
1825,CHN,EU27,Ni,refined_metal,0.0
1825,CHN,ROW,Ni,refined_metal,0.0
1825,EU27,CHN,Ni,refined_metal,0.0
1825,EU27,EU27,Ni,refined_metal,0.0
1825,EU27,ROW,Ni,refined_metal,0.0
1825,ROW,CHN,Ni,refined_metal,2.234790344868226e-05
1825,ROW,EU27,Ni,refined_metal,0.009073355684626748
1825,ROW,ROW,Ni,refined_metal,0.0
1825,CHN,CHN,Ni,scrap,3.372267416600311e-05
1825,CHN,EU27,Ni,scrap,0.00202701711346439
1825,CHN,ROW,Ni,scrap,0.004900960899925283
1825,EU27,CHN,Ni,scrap,0.0071584741874821
1825,EU27,EU27,Ni,scrap,0.4302846687925968
1825,EU27,ROW,Ni,scrap,1.0403505345772033
1825,ROW,CHN,Ni,scrap,0.0018306496845001516
1825,ROW,EU27,Ni,scrap,0.11003748460081868
1825,ROW,ROW,Ni,scrap,0.2660507432189555
1825,CHN,CHN,Sn,concentrate,
1825,CHN,EU27,Sn,concentrate,
1825,CHN,ROW,Sn,concentrate,
1825,EU27,CHN,Sn,concentrate,
1825,EU27,EU27,Sn,concentrate,
1825,EU27,ROW,Sn,concentrate,
1825,ROW,CHN,Sn,concentrate,
1825,ROW,EU27,Sn,concentrate,
1825,ROW,ROW,Sn,concentrate,
1825,CHN,CHN,Sn,refined_metal,0.0
1825,CHN,EU27,Sn,refined_metal,1.1956067176658984
1825,CHN,ROW,Sn,refined_metal,0.0
1825,EU27,CHN,Sn,refined_metal,0.0
1825,EU27,EU27,Sn,refined_metal,0.0
1825,EU27,ROW,Sn,refined_metal,0.0
1825,ROW,CHN,Sn,refined_metal,0.0
1825,ROW,EU27,Sn,refined_metal,12.180910366984575
1825,ROW,ROW,Sn,refined_metal,0.0
1825,CHN,CHN,Sn,scrap,0.003432626720234543
1825,CHN,EU27,Sn,scrap,0.2761357343442512
1825,CHN,ROW,Sn,scrap,0.15237047780719745
1825,EU27,CHN,Sn,scrap,0.0253831466185032
1825,EU27,EU27,Sn,scrap,2.0419330159468245
1825,EU27,ROW,Sn,scrap,1.126729613713202
1825,ROW,CHN,Sn,scrap,0.02888285915640853
1825,ROW,EU27,Sn,scrap,2.323465431327615
1825,ROW,ROW,Sn,scrap,1.2820779562652982
1825,CHN,CHN,Zn,concentrate,
1825,CHN,EU27,Zn,concentrate,
1825,CHN,ROW,Zn,concentrate,
1825,EU27,CHN,Zn,concentrate,
1825,EU27,EU27,Zn,concentrate,
1825,EU27,ROW,Zn,concentrate,
1825,ROW,CHN,Zn,concentrate,
1825,ROW,EU27,Zn,concentrate,
1825,ROW,ROW,Zn,concentrate,
1825,CHN,CHN,Zn,refined_metal,0.0
1825,CHN,EU27,Zn,refined_metal,1.0544089744949199
1825,CHN,ROW,Zn,refined_metal,0.0
1825,EU27,CHN,Zn,refined_metal,0.0
1825,EU27,EU27,Zn,refined_metal,0.0
1825,EU27,ROW,Zn,refined_metal,0.0
1825,ROW,CHN,Zn,refined_metal,0.0
1825,ROW,EU27,Zn,refined_metal,33.890006431842075
1825,ROW,ROW,Zn,refined_metal,0.0
1825,CHN,CHN,Zn,scrap,0.30150846309163
1825,CHN,EU27,Zn,scrap,0.9267056975971023
1825,CHN,ROW,Zn,scrap,0.4101233752986781
1825,EU27,CHN,Zn,scrap,2.5687027144534587
1825,EU27,EU27,Zn,scrap,7.8950733803904445
1825,EU27,ROW,Zn,scrap,3.494047950058269
1825,ROW,CHN,Zn,scrap,2.5237059050686543
1825,ROW,EU27,Zn,scrap,7.756772786095297
1825,ROW,ROW,Zn,scrap,3.4328415641633603
1826,CHN,CHN,Ni,concentrate,
1826,CHN,EU27,Ni,concentrate,
1826,CHN,ROW,Ni,concentrate,
1826,EU27,CHN,Ni,concentrate,
1826,EU27,EU27,Ni,concentrate,
1826,EU27,ROW,Ni,concentrate,
1826,ROW,CHN,Ni,concentrate,
1826,ROW,EU27,Ni,concentrate,
1826,ROW,ROW,Ni,concentrate,
1826,CHN,CHN,Ni,refined_metal,0.0
1826,CHN,EU27,Ni,refined_metal,0.0
1826,CHN,ROW,Ni,refined_metal,0.0
1826,EU27,CHN,Ni,refined_metal,0.0
1826,EU27,EU27,Ni,refined_metal,0.0
1826,EU27,ROW,Ni,refined_metal,0.0
1826,ROW,CHN,Ni,refined_metal,2.603139420638013e-05
1826,ROW,EU27,Ni,refined_metal,0.010568870549471877
1826,ROW,ROW,Ni,refined_metal,0.0
1826,CHN,CHN,Ni,scrap,4.276291027904518e-05
1826,CHN,EU27,Ni,scrap,0.002570411543594394
1826,CHN,ROW,Ni,scrap,0.006214790387409339
1826,EU27,CHN,Ni,scrap,0.00825766302195551
1826,EU27,EU27,Ni,scrap,0.49635518762033476
1826,EU27,ROW,Ni,scrap,1.2000971036918056
1826,ROW,CHN,Ni,scrap,0.0025999478189125103
1826,ROW,EU27,Ni,scrap,0.15627879026162952
1826,ROW,ROW,Ni,scrap,0.37785385997597093
1826,CHN,CHN,Sn,concentrate,
1826,CHN,EU27,Sn,concentrate,
1826,CHN,ROW,Sn,concentrate,
1826,EU27,CHN,Sn,concentrate,
1826,EU27,EU27,Sn,concentrate,
1826,EU27,ROW,Sn,concentrate,
1826,ROW,CHN,Sn,concentrate,
1826,ROW,EU27,Sn,concentrate,
1826,ROW,ROW,Sn,concentrate,
1826,CHN,CHN,Sn,refined_metal,0.0
1826,CHN,EU27,Sn,refined_metal,1.4022559265538879
1826,CHN,ROW,Sn,refined_metal,0.0
1826,EU27,CHN,Sn,refined_metal,0.0
1826,EU27,EU27,Sn,refined_metal,0.0
1826,EU27,ROW,Sn,refined_metal,0.0
1826,ROW,CHN,Sn,refined_metal,0.0
1826,ROW,EU27,Sn,refined_metal,14.260006166488816
1826,ROW,ROW,Sn,refined_metal,0.0
1826,CHN,CHN,Sn,scrap,0.004284738448746384
1826,CHN,EU27,Sn,scrap,0.34468338518811836
1826,CHN,ROW,Sn,scrap,0.19019476859101875
1826,EU27,CHN,Sn,scrap,0.03312707269516671
1826,EU27,EU27,Sn,scrap,2.6648888128244312
1826,EU27,ROW,Sn,scrap,1.4704738692273034
1826,ROW,CHN,Sn,scrap,0.036913777020723154
1826,ROW,EU27,Sn,scrap,2.9695081218562724
1826,ROW,ROW,Sn,scrap,1.638561457661677
1826,CHN,CHN,Zn,concentrate,
1826,CHN,EU27,Zn,concentrate,
1826,CHN,ROW,Zn,concentrate,
1826,EU27,CHN,Zn,concentrate,
1826,EU27,EU27,Zn,concentrate,
1826,EU27,ROW,Zn,concentrate,
1826,ROW,CHN,Zn,concentrate,
1826,ROW,EU27,Zn,concentrate,
1826,ROW,ROW,Zn,concentrate,
1826,CHN,CHN,Zn,refined_metal,0.0
1826,CHN,EU27,Zn,refined_metal,0.8993347681975339
1826,CHN,ROW,Zn,refined_metal,0.0
1826,EU27,CHN,Zn,refined_metal,0.0
1826,EU27,EU27,Zn,refined_metal,0.0
1826,EU27,ROW,Zn,refined_metal,0.0
1826,ROW,CHN,Zn,refined_metal,0.0
1826,ROW,EU27,Zn,refined_metal,28.761393434608834
